종목명,종목코드,전일가
케이씨,029460,22850
신도리코,029530,33050
삼성카드,029780,31500
제일기획,030000,22850
KT,030200,30600
KTB투자증권,030210,5190
교보증권,030610,8370
동원수산,030720,9350
비케이탑스,030790,3690
신세계인터내셔날,031430,145500
신세계푸드,031440,81900
콤텍시스템,031820,930
롯데관광개발,032350,17550
황금에스티,032560,8450
LG유플러스,032640,13600
삼성생명,032830,64100
KH 필룩스,033180,2615
자화전자,033240,25050
체시스,033250,1255
유나이티드제약,033270,47350
세종공업,033530,8710
KT&G,033780,79000
무학,033920,8350
두산중공업,034020,20400
SBS,034120,49350
LG디스플레이,034220,24600
신세계건설,034300,34700
NICE,034310,16000
인천도시가스,034590,27150
SK,034730,251000
SK우,03473K,220000
한국토지신탁,034830,2605
지투알,035000,7050
백산,035150,8230
강원랜드,035250,24050
NAVER,035420,378500
신세계 I&C,035510,198500
카카오,035720,112500
제이콘텐트리,036420,54600
한국가스공사,036460,39100
SNT홀딩스,036530,17600
엔씨소프트,036570,643000
팜스코,036580,6130
YG PLUS,037270,7980
LG헬로비전,037560,5560
광주신세계,037710,181000
하나투어,039130,74600
키움증권,039490,107000
HDC랩스,039570,12200
상신브레이크,041650,3880
대우조선해양,042660,23050
현대두산인프라코어,042670,7080
한미반도체,042700,37850
주연테크,044380,1300
KSS해운,044450,11850
코스맥스비티아이,044820,13600
대우건설,047040,5770
포스코인터내셔널,047050,22450
유니온머티리얼,047400,3175
한국항공우주,047810,32450
동원F&B,049770,194500
우진플라임,049800,4570
한전KPS,051600,38550
진양화학,051630,5500
LG생활건강,051900,1097000
LG생활건강우,051905,616000
LG화학,051910,615000
LG화학우,051915,287000
한전기술,052690,85000
스카이라이프,053210,9140
한미글로벌,053690,12150
테이팩스,055490,81400
신한지주,055550,36800
현대홈쇼핑,057050,63400
포스코강판,058430,55000
세아홀딩스,058650,104500
다스코,058730,4875
KTcs,058850,2585
KTis,058860,2540
한라홀딩스,060980,45850
종근당바이오,063160,41800
현대로템,064350,20800
SNT모티브,064960,47050
LG전자,066570,138000
LG전자우,066575,65500
세이브존I&C,067830,2985
셀트리온,068270,198000
삼성출판사,068290,33150
SK렌터카,068400,10250
휴켐스,069260,23150
대호에이엘,069460,3385
KODEX 200,069500,39870
대웅제약,069620,148000
한세엠케이,069640,4025
KOSEF 200,069660,39995
DSR제강,069730,4730
현대백화점,069960,75100
용평리조트,070960,4895
한국금융지주,071050,80700
한국금융지주우,071055,65000
하이스틸,071090,2765
지역난방공사,071320,38750
롯데하이마트,071840,25150
코아스,071950,1115
STX중공업,071970,4740
유엔젤,072130,5270
농심홀딩스,072710,75800
금호타이어,073240,4610
이엔플러스,074610,4790
새론오토모티브,075180,5480
세진중공업,075580,5900
유니퀘스트,077500,12100
STX엔진,077970,9600
텔코웨어,078000,10950
에이블씨엔씨,078520,6520
GS,078930,39100
GS우,078935,35000
CJ CGV,079160,25050
현대리바트,079430,15150
LIG넥스원,079550,68600
휴비스,079980,8590
일진다이아,081000,30350
휠라홀딩스,081660,35850
동양생명,082640,6600
HSD엔진,082740,8340
그린케미칼,083420,9270
대한제강,084010,15550
동양고속,084670,17250
이월드,084680,2680
대상홀딩스,084690,9700
대상홀딩스우,084695,11700
TBH글로벌,084870,2255
엔케이,085310,1045
미래에셋생명,085620,4005
현대글로비스,086280,168000
하나금융지주,086790,42050
이리츠코크렙,088260,5960
한화생명,088350,2935
진도,088790,2820
맥쿼리인프라,088980,14050
HDC현대EP,089470,5950
제주항공,089590,17600
롯데렌탈,089860,38100
평화산업,090080,1730
노루페인트,090350,14900
노루페인트우,090355,21100
메타랩스,090370,939
아모레퍼시픽,090430,167000
아모레퍼시픽우,090435,73200
세원이앤씨,091090,1140
KODEX 반도체,091160,39705
KODEX 은행,091170,7555
KODEX 자동차,091180,21235
TIGER 은행,091220,7885
TIGER 반도체,091230,40730
티웨이항공,091810,3200
디아이씨,092200,5570
KEC,092220,3710
KPX홀딩스,092230,63500
기신정기,092440,4240
동양피스톤,092780,6300
LF,093050,17250
이아이디,093230,302
형지엘리트,093240,3755
후성,093370,23100
효성ITX,094280,20000
맵스리얼티1,094800,4675
AJ네트웍스,095570,5410
웅진씽크빅,095720,3175
베트남개발1,096300,167
JW홀딩스,096760,3430
SK이노베이션,096770,238500
SK이노베이션우,096775,141000
한진중공업,097230,8040
엠씨넥스,097520,57500
